DATE,IPG2211A2N
01-08-1958,18.373
01-09-1958,18.4239
01-10-1958,17.8641
01-11-1958,17.7877
01-12-1958,18.7293
01-01-1959,19.7217
01-02-1959,19.3909
01-03-1959,19.2891
01-04-1959,18.8311
01-05-1959,18.7038
01-06-1959,19.2891
01-07-1959,19.7981
01-08-1959,20.2052
01-09-1959,20.4088
01-10-1959,19.4927
01-11-1959,19.4418
01-12-1959,20.5615
01-01-1960,21.4267
01-02-1960,21.1213
01-03-1960,21.2231
01-04-1960,20.5106
01-05-1960,19.8999
01-06-1960,20.4088
01-07-1960,20.9178
01-08-1960,21.7321
01-09-1960,21.7575
01-10-1960,20.7396
01-11-1960,20.5106
01-12-1960,21.274
01-01-1961,22.2919
01-02-1961,21.8339
01-03-1961,21.5285
01-04-1961,21.1722
01-05-1961,21.1722
01-06-1961,21.6303
01-07-1961,22.1392
01-08-1961,23.1826
01-09-1961,23.3098
01-10-1961,22.3937
01-11-1961,22.0629
01-12-1961,22.979
01-01-1962,24.3532
01-02-1962,23.717
01-03-1962,23.5643
01-04-1962,22.6991
01-05-1962,22.5973
01-06-1962,23.3607
01-07-1962,24.0733
01-08-1962,24.7349
01-09-1962,24.7349
01-10-1962,23.717
01-11-1962,23.5643
01-12-1962,24.455
01-01-1963,25.88
01-02-1963,25.5746
01-03-1963,25.0911
01-04-1963,24.1496
01-05-1963,24.1496
01-06-1963,24.9385
01-07-1963,26.0582
01-08-1963,26.8979
01-09-1963,26.5162
01-10-1963,25.1675
01-11-1963,24.8621
01-12-1963,26.0836
01-01-1964,27.7886
01-02-1964,26.9488
01-03-1964,26.8725
01-04-1964,26.4399
01-05-1964,26.2363
01-06-1964,27.1015
01-07-1964,28.8319
01-08-1964,29.6208
01-09-1964,28.9846
01-10-1964,27.4832
01-11-1964,26.8725
01-12-1964,28.3739
01-01-1965,29.4935
01-02-1965,28.8319
01-03-1965,28.8828
01-04-1965,28.2212
01-05-1965,27.7377
01-06-1965,28.7301
01-07-1965,30.0279
01-08-1965,31.0458
01-09-1965,30.8932
01-10-1965,29.3918
01-11-1965,28.6029
01-12-1965,30.0534
01-01-1966,31.2749
01-02-1966,31.224
01-03-1966,30.7914
01-04-1966,29.8244
01-05-1966,29.5953
01-06-1966,30.7405
01-07-1966,33.3615
01-08-1966,34.354
01-09-1966,33.3361
01-10-1966,31.2494
01-11-1966,30.8423
01-12-1966,32.2419
01-01-1967,34.0068
01-02-1967,33.4397
01-03-1967,32.4025
01-04-1967,32.149
01-05-1967,31.0913
01-06-1967,32.4511
01-07-1967,33.5218
01-08-1967,33.9041
01-09-1967,32.8858
01-10-1967,32.8209
01-11-1967,33.3338
01-12-1967,35.3366
01-01-1968,36.6552
01-02-1968,35.7456
01-03-1968,35.4564
01-04-1968,33.8323
01-05-1968,33.4568
01-06-1968,35.5845
01-07-1968,36.2277
01-08-1968,37.5316
01-09-1968,36.7015
01-10-1968,34.9519
01-11-1968,35.5812
01-12-1968,38.1623
01-01-1969,39.5644
01-02-1969,39.1481
01-03-1969,38.4261
01-04-1969,36.5989
01-05-1969,35.8041
01-06-1969,38.3842
01-07-1969,40.2542
01-08-1969,41.5975
01-09-1969,39.7851
01-10-1969,38.1573
01-11-1969,39.1849
01-12-1969,40.5863
01-01-1970,42.443
01-02-1970,41.9218
01-03-1970,40.9996
01-04-1970,39.5975
01-05-1970,39.3354
01-06-1970,40.5693
01-07-1970,42.5771
01-08-1970,44.1442
01-09-1970,42.9492
01-10-1970,39.9408
01-11-1970,40.3268
01-12-1970,41.4825
01-01-1971,44.28
01-02-1971,43.7066
01-03-1971,42.1159
01-04-1971,40.8044
01-05-1971,40.2194
01-06-1971,42.8981
01-07-1971,44.5123
01-08-1971,45.4201
01-09-1971,44.825
01-10-1971,43.2929
01-11-1971,43.3454
01-12-1971,44.9239
01-01-1972,48.1095
01-02-1972,49.2717
01-03-1972,47.1272
01-04-1972,43.8476
01-05-1972,41.477
01-06-1972,43.1669
01-07-1972,44.7181
01-08-1972,47.2721
01-09-1972,46.1295
01-10-1972,44.0204
01-11-1972,46.4926
01-12-1972,51.3963
01-01-1973,55.0983
01-02-1973,53.1904
01-03-1973,49.7553
01-04-1973,46.1196
01-05-1973,44.2575
01-06-1973,46.7498
01-07-1973,48.58
01-08-1973,50.3276
01-09-1973,49.3343
01-10-1973,46.376
01-11-1973,47.1675
01-12-1973,49.0527
01-01-1974,53.0168
01-02-1974,50.8844
01-03-1974,49.0543
01-04-1974,46.1321
01-05-1974,44.7375
